Indicator,Country,Date,value
Cumulative number of probable Ebola deaths,United States of America,2015-03-06,0
Cumulative number of suspected Ebola deaths,United States of America,2015-03-06,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-03-06,1
Cumulative number of confirmed Ebola cases,United Kingdom,2015-03-05,1
Cumulative number of probable Ebola cases,United Kingdom,2015-03-05,0
Cumulative number of suspected Ebola cases,United Kingdom,2015-03-05,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-03-05,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-05,3237
Cumulative number of confirmed Ebola cases,Guinea,2015-03-05,2833
Cumulative number of probable Ebola cases,Guinea,2015-03-05,392
Cumulative number of suspected Ebola cases,Guinea,2015-03-05,12
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-05,2141
Cumulative number of confirmed Ebola deaths,Guinea,2015-03-05,1749
Cumulative number of probable Ebola deaths,Guinea,2015-03-05,392
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-05,9249
Cumulative number of confirmed Ebola cases,Liberia,2015-03-05,3150
Cumulative number of probable Ebola cases,Liberia,2015-03-05,1877
Cumulative number of suspected Ebola cases,Liberia,2015-03-05,4222
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-05,4117
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-03-05,11497
Cumulative number of confirmed Ebola cases,Sierra Leone,2015-03-05,8383
Cumulative number of probable Ebola cases,Sierra Leone,2015-03-05,287
Cumulative number of suspected Ebola cases,Sierra Leone,2015-03-05,2827
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-03-05,3565
Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-03-05,3199
Cumulative number of probable Ebola deaths,Sierra Leone,2015-03-05,208
Cumulative number of suspected Ebola deaths,Sierra Leone,2015-03-05,158
