Indicator,Country,Date,value
Cumulative number of suspected Ebola deaths,Spain,2015-03-17,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-17,0
Cumulative number of confirmed Ebola deaths,United States of America,2015-03-17,1
Cumulative number of probable Ebola deaths,United States of America,2015-03-17,0
Cumulative number of suspected Ebola deaths,United States of America,2015-03-17,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-03-17,1
Cumulative number of confirmed Ebola cases,Guinea,2015-03-18,2966
Cumulative number of probable Ebola cases,Guinea,2015-03-18,395
Cumulative number of suspected Ebola cases,Guinea,2015-03-18,28
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-18,3389
Number of confirmed Ebola cases in the last 21 days,Guinea,2015-03-18,204
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,2015-03-18,204
Cumulative number of confirmed Ebola deaths,Guinea,2015-03-18,1829
Cumulative number of probable Ebola deaths,Guinea,2015-03-18,395
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-18,2224
Cumulative number of confirmed Ebola cases,Liberia,2015-03-18,3150
Cumulative number of probable Ebola cases,Liberia,2015-03-18,1879
Cumulative number of suspected Ebola cases,Liberia,2015-03-18,4497
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-18,9526
Number of confirmed Ebola cases in the last 21 days,Liberia,2015-03-18,0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,2015-03-18,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-18,4264
Cumulative number of confirmed Ebola cases,Sierra Leone,2015-03-18,8487
Cumulative number of probable Ebola cases,Sierra Leone,2015-03-18,287
Cumulative number of suspected Ebola cases,Sierra Leone,2015-03-18,2977
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-03-18,11751
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,2015-03-18,194
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,2015-03-18,194
Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-03-18,3325
Cumulative number of probable Ebola deaths,Sierra Leone,2015-03-18,208
Cumulative number of suspected Ebola deaths,Sierra Leone,2015-03-18,158
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-03-18,3691
Cumulative number of confirmed Ebola cases,United Kingdom,2015-03-18,1
Cumulative number of probable Ebola cases,United Kingdom,2015-03-18,0
Cumulative number of suspected Ebola cases,United Kingdom,2015-03-18,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-03-18,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-03-18,1
Cumulative number of confirmed Ebola cases,Mali,2015-03-18,7
Cumulative number of probable Ebola cases,Mali,2015-03-18,1
Cumulative number of suspected Ebola cases,Mali,2015-03-18,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-18,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-18,8
Cumulative number of confirmed Ebola cases,Nigeria,2015-03-18,19
Cumulative number of probable Ebola cases,Nigeria,2015-03-18,1
Cumulative number of suspected Ebola cases,Nigeria,2015-03-18,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-18,20
Cumulative number of confirmed Ebola cases,Senegal,2015-03-18,1
Cumulative number of probable Ebola cases,Senegal,2015-03-18,0
Cumulative number of suspected Ebola cases,Senegal,2015-03-18,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-18,1
Cumulative number of confirmed Ebola cases,Spain,2015-03-18,1
Cumulative number of probable Ebola cases,Spain,2015-03-18,0
Cumulative number of suspected Ebola cases,Spain,2015-03-18,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-18,1
Cumulative number of confirmed Ebola cases,United States of America,2015-03-18,4
Cumulative number of probable Ebola cases,United States of America,2015-03-18,0
Cumulative number of suspected Ebola cases,United States of America,2015-03-18,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-03-18,4
Cumulative number of confirmed Ebola deaths,Nigeria,2015-03-18,7
Cumulative number of probable Ebola deaths,Nigeria,2015-03-18,1
Cumulative number of suspected Ebola deaths,Nigeria,2015-03-18,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-18,8
Cumulative number of confirmed Ebola deaths,Senegal,2015-03-18,0
Cumulative number of probable Ebola deaths,Senegal,2015-03-18,0
Cumulative number of suspected Ebola deaths,Senegal,2015-03-18,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-18,0
Cumulative number of confirmed Ebola deaths,Spain,2015-03-18,0
Cumulative number of probable Ebola deaths,Spain,2015-03-18,0
Cumulative number of suspected Ebola deaths,Spain,2015-03-18,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-18,0
Cumulative number of confirmed Ebola deaths,United States of America,2015-03-18,1
Cumulative number of probable Ebola deaths,United States of America,2015-03-18,0
Cumulative number of suspected Ebola deaths,United States of America,2015-03-18,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-03-18,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-20,3404
Cumulative number of confirmed Ebola cases,Guinea,2015-03-20,2988
Cumulative number of probable Ebola cases,Guinea,2015-03-20,395
Cumulative number of suspected Ebola cases,Guinea,2015-03-20,21
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-20,2241
Cumulative number of confirmed Ebola deaths,Guinea,2015-03-20,1846
Cumulative number of probable Ebola deaths,Guinea,2015-03-20,395
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-20,9555
Cumulative number of confirmed Ebola cases,Liberia,2015-03-20,3150
Cumulative number of probable Ebola cases,Liberia,2015-03-20,1879
Cumulative number of suspected Ebola cases,Liberia,2015-03-20,4526
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-20,4283
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-03-20,11794
Cumulative number of confirmed Ebola cases,Sierra Leone,2015-03-20,8508
Cumulative number of probable Ebola cases,Sierra Leone,2015-03-20,287
Cumulative number of suspected Ebola cases,Sierra Leone,2015-03-20,2999
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-03-20,3712
Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-03-20,3346
Cumulative number of probable Ebola deaths,Sierra Leone,2015-03-20,208
Cumulative number of suspected Ebola deaths,Sierra Leone,2015-03-20,158
Cumulative number of confirmed Ebola cases,United Kingdom,2015-03-20,1
Cumulative number of probable Ebola cases,United Kingdom,2015-03-20,0
Cumulative number of suspected Ebola cases,United Kingdom,2015-03-20,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-03-20,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-03-20,1
Cumulative number of confirmed Ebola cases,Mali,2015-03-20,7
Cumulative number of probable Ebola cases,Mali,2015-03-20,1
Cumulative number of suspected Ebola cases,Mali,2015-03-20,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-20,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-20,8
Cumulative number of confirmed Ebola cases,Nigeria,2015-03-20,19
Cumulative number of probable Ebola cases,Nigeria,2015-03-20,1
Cumulative number of suspected Ebola cases,Nigeria,2015-03-20,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-20,20
Cumulative number of confirmed Ebola cases,Senegal,2015-03-20,1
Cumulative number of probable Ebola cases,Senegal,2015-03-20,0
Cumulative number of suspected Ebola cases,Senegal,2015-03-20,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-20,1
Cumulative number of confirmed Ebola cases,Spain,2015-03-20,1
Cumulative number of probable Ebola cases,Spain,2015-03-20,0
Cumulative number of suspected Ebola cases,Spain,2015-03-20,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-20,1
Cumulative number of confirmed Ebola cases,United States of America,2015-03-20,4
Cumulative number of probable Ebola cases,United States of America,2015-03-20,0
Cumulative number of suspected Ebola cases,United States of America,2015-03-20,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-03-20,4
Cumulative number of confirmed Ebola deaths,Nigeria,2015-03-20,7
Cumulative number of probable Ebola deaths,Nigeria,2015-03-20,1
Cumulative number of suspected Ebola deaths,Nigeria,2015-03-20,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-20,8
Cumulative number of confirmed Ebola deaths,Senegal,2015-03-20,0
Cumulative number of probable Ebola deaths,Senegal,2015-03-20,0
Cumulative number of suspected Ebola deaths,Senegal,2015-03-20,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-20,0
Cumulative number of confirmed Ebola deaths,Spain,2015-03-20,0
Cumulative number of probable Ebola deaths,Spain,2015-03-20,0
Cumulative number of suspected Ebola deaths,Spain,2015-03-20,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-20,0
Cumulative number of confirmed Ebola deaths,United States of America,2015-03-20,1
Cumulative number of probable Ebola deaths,United States of America,2015-03-20,0
Cumulative number of suspected Ebola deaths,United States of America,2015-03-20,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-03-20,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-23,3420
Cumulative number of confirmed Ebola cases,Guinea,2015-03-23,3007
Cumulative number of probable Ebola cases,Guinea,2015-03-23,398
Cumulative number of suspected Ebola cases,Guinea,2015-03-23,15
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-23,2261
Cumulative number of confirmed Ebola deaths,Guinea,2015-03-23,1863
Cumulative number of probable Ebola deaths,Guinea,2015-03-23,398
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-23,9593
Cumulative number of confirmed Ebola cases,Liberia,2015-03-23,3151
Cumulative number of probable Ebola cases,Liberia,2015-03-23,1879
Cumulative number of suspected Ebola cases,Liberia,2015-03-23,4563
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-23,4296
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-03-23,11829
Cumulative number of confirmed Ebola cases,Sierra Leone,2015-03-23,8518
Cumulative number of probable Ebola cases,Sierra Leone,2015-03-23,287
Cumulative number of suspected Ebola cases,Sierra Leone,2015-03-23,3024
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-03-23,3742
Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-03-23,3376
Cumulative number of probable Ebola deaths,Sierra Leone,2015-03-23,208
Cumulative number of suspected Ebola deaths,Sierra Leone,2015-03-23,158
Cumulative number of confirmed Ebola cases,United Kingdom,2015-03-23,1
Cumulative number of probable Ebola cases,United Kingdom,2015-03-23,0
Cumulative number of suspected Ebola cases,United Kingdom,2015-03-23,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-03-23,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-03-23,1
Cumulative number of confirmed Ebola cases,Mali,2015-03-23,7
Cumulative number of probable Ebola cases,Mali,2015-03-23,1
Cumulative number of suspected Ebola cases,Mali,2015-03-23,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-23,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-23,8
Cumulative number of confirmed Ebola cases,Nigeria,2015-03-23,19
Cumulative number of probable Ebola cases,Nigeria,2015-03-23,1
Cumulative number of suspected Ebola cases,Nigeria,2015-03-23,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-23,20
Cumulative number of confirmed Ebola cases,Senegal,2015-03-23,1
Cumulative number of probable Ebola cases,Senegal,2015-03-23,0
Cumulative number of suspected Ebola cases,Senegal,2015-03-23,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-23,1
Cumulative number of confirmed Ebola cases,Spain,2015-03-23,1
Cumulative number of probable Ebola cases,Spain,2015-03-23,0
Cumulative number of suspected Ebola cases,Spain,2015-03-23,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-23,1
Cumulative number of confirmed Ebola cases,United States of America,2015-03-23,4
Cumulative number of probable Ebola cases,United States of America,2015-03-23,0
Cumulative number of suspected Ebola cases,United States of America,2015-03-23,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-03-23,4
Cumulative number of confirmed Ebola deaths,Nigeria,2015-03-23,7
Cumulative number of probable Ebola deaths,Nigeria,2015-03-23,1
Cumulative number of suspected Ebola deaths,Nigeria,2015-03-23,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-23,8
Cumulative number of confirmed Ebola deaths,Senegal,2015-03-23,0
Cumulative number of probable Ebola deaths,Senegal,2015-03-23,0
Cumulative number of suspected Ebola deaths,Senegal,2015-03-23,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-23,0
Cumulative number of confirmed Ebola deaths,Spain,2015-03-23,0
Cumulative number of probable Ebola deaths,Spain,2015-03-23,0
Cumulative number of suspected Ebola deaths,Spain,2015-03-23,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-23,0
Cumulative number of confirmed Ebola deaths,United States of America,2015-03-23,1
Cumulative number of probable Ebola deaths,United States of America,2015-03-23,0
Cumulative number of suspected Ebola deaths,United States of America,2015-03-23,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-03-23,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-24,3429
Cumulative number of confirmed Ebola cases,Guinea,2015-03-24,3011
Cumulative number of probable Ebola cases,Guinea,2015-03-24,398
Cumulative number of suspected Ebola cases,Guinea,2015-03-24,20
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-24,2263
Cumulative number of confirmed Ebola deaths,Guinea,2015-03-24,1865
Cumulative number of probable Ebola deaths,Guinea,2015-03-24,398
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-24,9602
Cumulative number of confirmed Ebola cases,Liberia,2015-03-24,3151
Cumulative number of probable Ebola cases,Liberia,2015-03-24,1879
Cumulative number of suspected Ebola cases,Liberia,2015-03-24,4572
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-24,4301
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-03-24,11841
Cumulative number of confirmed Ebola cases,Sierra Leone,2015-03-24,8520
Cumulative number of probable Ebola cases,Sierra Leone,2015-03-24,287
Cumulative number of suspected Ebola cases,Sierra Leone,2015-03-24,3034
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-03-24,3747
Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-03-24,3381
Cumulative number of probable Ebola deaths,Sierra Leone,2015-03-24,208
Cumulative number of suspected Ebola deaths,Sierra Leone,2015-03-24,158
Cumulative number of confirmed Ebola cases,United Kingdom,2015-03-24,1
Cumulative number of probable Ebola cases,United Kingdom,2015-03-24,0
Cumulative number of suspected Ebola cases,United Kingdom,2015-03-24,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-03-24,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-03-24,1
Cumulative number of confirmed Ebola cases,Mali,2015-03-24,7
Cumulative number of probable Ebola cases,Mali,2015-03-24,1
Cumulative number of suspected Ebola cases,Mali,2015-03-24,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-24,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-24,8
Cumulative number of confirmed Ebola cases,Nigeria,2015-03-24,19
Cumulative number of probable Ebola cases,Nigeria,2015-03-24,1
Cumulative number of suspected Ebola cases,Nigeria,2015-03-24,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-24,20
Cumulative number of confirmed Ebola cases,Senegal,2015-03-24,1
Cumulative number of probable Ebola cases,Senegal,2015-03-24,0
Cumulative number of suspected Ebola cases,Senegal,2015-03-24,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-24,1
Cumulative number of confirmed Ebola cases,Spain,2015-03-24,1
Cumulative number of probable Ebola cases,Spain,2015-03-24,0
Cumulative number of suspected Ebola cases,Spain,2015-03-24,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-24,1
Cumulative number of confirmed Ebola cases,United States of America,2015-03-24,4
Cumulative number of probable Ebola cases,United States of America,2015-03-24,0
Cumulative number of suspected Ebola cases,United States of America,2015-03-24,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-03-24,4
Cumulative number of confirmed Ebola deaths,Nigeria,2015-03-24,7
Cumulative number of probable Ebola deaths,Nigeria,2015-03-24,1
Cumulative number of suspected Ebola deaths,Nigeria,2015-03-24,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-24,8
Cumulative number of confirmed Ebola deaths,Senegal,2015-03-24,0
Cumulative number of probable Ebola deaths,Senegal,2015-03-24,0
Cumulative number of suspected Ebola deaths,Senegal,2015-03-24,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-24,0
Cumulative number of confirmed Ebola deaths,Spain,2015-03-24,0
Cumulative number of probable Ebola deaths,Spain,2015-03-24,0
Cumulative number of suspected Ebola deaths,Spain,2015-03-24,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-24,0
Cumulative number of confirmed Ebola deaths,United States of America,2015-03-24,1
Cumulative number of probable Ebola deaths,United States of America,2015-03-24,0
Cumulative number of suspected Ebola deaths,United States of America,2015-03-24,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-03-24,1
Cumulative number of confirmed Ebola deaths,Guinea,2015-03-25,1865
Cumulative number of probable Ebola cases,Liberia,2015-03-25,1879
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-25,9602
Cumulative number of confirmed Ebola cases,Sierra Leone,2015-03-25,8520
Cumulative number of probable Ebola deaths,Sierra Leone,2015-03-25,208
Number of confirmed Ebola cases in the last 21 days,Guinea,2015-03-25,198
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,2015-03-25,1
Cumulative number of probable Ebola deaths,Guinea,2015-03-25,398
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-25,2263
Cumulative number of confirmed Ebola cases,Liberia,2015-03-25,3151
Cumulative number of suspected Ebola cases,Sierra Leone,2015-03-25,3034
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-03-25,11841
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,2015-03-25,198
Number of confirmed Ebola cases in the last 21 days,Liberia,2015-03-25,1
Cumulative number of confirmed Ebola cases,Guinea,2015-03-25,3011
Cumulative number of suspected Ebola cases,Liberia,2015-03-25,4572
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-25,4301
Cumulative number of probable Ebola cases,Sierra Leone,2015-03-25,287
Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-03-25,3381
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,2015-03-25,146
Cumulative number of probable Ebola cases,Guinea,2015-03-25,398
Cumulative number of suspected Ebola cases,Guinea,2015-03-25,20
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-25,3429
Cumulative number of suspected Ebola deaths,Sierra Leone,2015-03-25,158
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-03-25,3747
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,2015-03-25,146
Cumulative number of confirmed Ebola cases,United Kingdom,2015-03-25,1
Cumulative number of probable Ebola cases,United Kingdom,2015-03-25,0
Cumulative number of suspected Ebola cases,United Kingdom,2015-03-25,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-03-25,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-03-25,1
Cumulative number of confirmed Ebola cases,Mali,2015-03-25,7
Cumulative number of probable Ebola cases,Mali,2015-03-25,1
Cumulative number of suspected Ebola cases,Mali,2015-03-25,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-25,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-25,8
Cumulative number of confirmed Ebola cases,Nigeria,2015-03-25,19
Cumulative number of probable Ebola cases,Nigeria,2015-03-25,1
Cumulative number of suspected Ebola cases,Nigeria,2015-03-25,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-25,20
Cumulative number of confirmed Ebola cases,Senegal,2015-03-25,1
Cumulative number of probable Ebola cases,Senegal,2015-03-25,0
Cumulative number of suspected Ebola cases,Senegal,2015-03-25,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-25,1
Cumulative number of confirmed Ebola cases,Spain,2015-03-25,1
Cumulative number of probable Ebola cases,Spain,2015-03-25,0
Cumulative number of suspected Ebola cases,Spain,2015-03-25,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-25,1
Cumulative number of confirmed Ebola cases,United States of America,2015-03-25,4
Cumulative number of probable Ebola cases,United States of America,2015-03-25,0
Cumulative number of suspected Ebola cases,United States of America,2015-03-25,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-03-25,4
Cumulative number of confirmed Ebola deaths,Nigeria,2015-03-25,7
Cumulative number of probable Ebola deaths,Nigeria,2015-03-25,1
Cumulative number of suspected Ebola deaths,Nigeria,2015-03-25,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-25,8
Cumulative number of confirmed Ebola deaths,Senegal,2015-03-25,0
Cumulative number of probable Ebola deaths,Senegal,2015-03-25,0
Cumulative number of suspected Ebola deaths,Senegal,2015-03-25,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-25,0
Cumulative number of confirmed Ebola deaths,Spain,2015-03-25,0
Cumulative number of probable Ebola deaths,Spain,2015-03-25,0
Cumulative number of suspected Ebola deaths,Spain,2015-03-25,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-25,0
Cumulative number of confirmed Ebola deaths,United States of America,2015-03-25,1
Cumulative number of probable Ebola deaths,United States of America,2015-03-25,0
Cumulative number of suspected Ebola deaths,United States of America,2015-03-25,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-03-25,1
Cumulative number of suspected Ebola cases,Liberia,2015-03-26,4572
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-26,4301
Cumulative number of suspected Ebola cases,Guinea,2015-03-26,29
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-26,2273
Cumulative number of confirmed Ebola deaths,Guinea,2015-03-26,1875
Cumulative number of probable Ebola deaths,Guinea,2015-03-26,398
Cumulative number of suspected Ebola cases,Sierra Leone,2015-03-26,3050
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-03-26,3764
Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-03-26,3398
Cumulative number of probable Ebola deaths,Sierra Leone,2015-03-26,208
Cumulative number of confirmed Ebola cases,Guinea,2015-03-26,3032
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-26,9602
Cumulative number of probable Ebola cases,Liberia,2015-03-26,1879
Cumulative number of confirmed Ebola cases,Sierra Leone,2015-03-26,8529
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-26,3459
Cumulative number of probable Ebola cases,Guinea,2015-03-26,398
Cumulative number of confirmed Ebola cases,Liberia,2015-03-26,3151
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-03-26,11866
Cumulative number of probable Ebola cases,Sierra Leone,2015-03-26,287
Cumulative number of suspected Ebola deaths,Sierra Leone,2015-03-26,158
Cumulative number of confirmed Ebola cases,United Kingdom,2015-03-26,1
Cumulative number of probable Ebola cases,United Kingdom,2015-03-26,0
Cumulative number of suspected Ebola cases,United Kingdom,2015-03-26,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-03-26,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-03-26,1
Cumulative number of confirmed Ebola cases,Mali,2015-03-26,7
Cumulative number of probable Ebola cases,Mali,2015-03-26,1
Cumulative number of suspected Ebola cases,Mali,2015-03-26,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-26,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-26,8
Cumulative number of confirmed Ebola cases,Nigeria,2015-03-26,19
Cumulative number of probable Ebola cases,Nigeria,2015-03-26,1
Cumulative number of suspected Ebola cases,Nigeria,2015-03-26,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-26,20
Cumulative number of confirmed Ebola cases,Senegal,2015-03-26,1
Cumulative number of probable Ebola cases,Senegal,2015-03-26,0
Cumulative number of suspected Ebola cases,Senegal,2015-03-26,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-26,1
Cumulative number of confirmed Ebola cases,Spain,2015-03-26,1
Cumulative number of probable Ebola cases,Spain,2015-03-26,0
Cumulative number of suspected Ebola cases,Spain,2015-03-26,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-26,1
Cumulative number of confirmed Ebola cases,United States of America,2015-03-26,4
Cumulative number of probable Ebola cases,United States of America,2015-03-26,0
Cumulative number of suspected Ebola cases,United States of America,2015-03-26,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-03-26,4
Cumulative number of confirmed Ebola deaths,Nigeria,2015-03-26,7
Cumulative number of probable Ebola deaths,Nigeria,2015-03-26,1
Cumulative number of suspected Ebola deaths,Nigeria,2015-03-26,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-26,8
Cumulative number of confirmed Ebola deaths,Senegal,2015-03-26,0
Cumulative number of probable Ebola deaths,Senegal,2015-03-26,0
Cumulative number of suspected Ebola deaths,Senegal,2015-03-26,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-26,0
Cumulative number of confirmed Ebola deaths,Spain,2015-03-26,0
Cumulative number of probable Ebola deaths,Spain,2015-03-26,0
Cumulative number of suspected Ebola deaths,Spain,2015-03-26,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-26,0
Cumulative number of confirmed Ebola deaths,United States of America,2015-03-26,1
Cumulative number of probable Ebola deaths,United States of America,2015-03-26,0
Cumulative number of suspected Ebola deaths,United States of America,2015-03-26,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-03-26,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-27,3466
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-03-27,11889
Cumulative number of confirmed Ebola cases,Sierra Leone,2015-03-27,8532
Cumulative number of probable Ebola cases,Guinea,2015-03-27,398
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-27,2276
Cumulative number of suspected Ebola cases,Liberia,2015-03-27,4572
Cumulative number of probable Ebola cases,Sierra Leone,2015-03-27,287
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-03-27,3773
Cumulative number of confirmed Ebola cases,Guinea,2015-03-27,3042
Cumulative number of suspected Ebola cases,Guinea,2015-03-27,26
